Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","2986","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","26","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","888","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","352","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","10","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","-10","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","18","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","10","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","7619","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","56094","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","4179","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","24","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","29","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","2739","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","27","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","1462","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","741","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","582","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","438","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","18","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","57","Bélarus","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","1702","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","4674","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","181","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","1486","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","2032","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","22","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","103","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","22","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","21","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","80","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","23","Belize","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","23","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","23","Belize","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","19","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","23","Belize","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","23","Belize","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","70","S","Données standardisées"
